time_ms,current_nA,voltage_mV
0.0,0.0,-70
0.5,0.0,-70
1.0,0.0,-70
1.5,0.0,-70
2.0,0.0,-70
2.5,0.0,-70
3.0,0.0,-70
3.5,0.0,-70
4.0,0.0,-70
4.5,0.0,-70
5.0,0.6,-70
5.5,0.6,-70
6.0,0.6,-70
6.5,0.6,-70
7.0,0.0,-65
7.5,0.0,-50
8.0,0.0,-20
8.5,0.0,15
9.0,0.0,35
9.5,0.0,20
10.0,0.0,-10
10.5,0.0,-32.5
11.0,0.0,-55
11.5,0.0,-66.5
12.0,0.0,-78
12.5,0.0,-77.25
13.0,0.0,-76.5
13.5,0.0,-75.75
14.0,0.0,-75
14.5,0.0,-74.625
15.0,0.0,-74.25
15.5,0.0,-73.875
16.0,0.0,-73.5
16.5,0.0,-73.125
17.0,0.0,-72.75
17.5,0.0,-72.375
18.0,0.0,-72
18.5,0.0,-71.857143
19.0,0.0,-71.714286
19.5,0.0,-71.571429
20.0,0.0,-71.428571
20.5,0.0,-71.285714
21.0,0.0,-71.142857
21.5,0.0,-71
22.0,0.0,-70.857143
22.5,0.0,-70.714286
23.0,0.0,-70.571429
23.5,0.0,-70.428571
24.0,0.0,-70.285714
24.5,0.0,-70.142857
25.0,0.0,-70
25.5,0.0,-70
26.0,0.0,-70
26.5,0.0,-70
27.0,0.0,-70
27.5,0.0,-70
28.0,0.0,-70
28.5,0.0,-70
29.0,0.0,-70
29.5,0.0,-70
30.0,0.0,-70
30.5,0.0,-70
31.0,0.0,-70
31.5,0.0,-70
32.0,0.0,-70
32.5,0.0,-70
33.0,0.0,-70
33.5,0.0,-70
34.0,0.0,-70
34.5,0.0,-70
35.0,0.0,-70
35.5,0.0,-70
36.0,0.0,-70
36.5,0.0,-70
37.0,0.0,-70
37.5,0.0,-70
38.0,0.0,-70
38.5,0.0,-70
39.0,0.0,-70
39.5,0.0,-70
40.0,0.0,-70
40.5,0.0,-70
41.0,0.0,-70
41.5,0.0,-70
42.0,0.0,-70
42.5,0.0,-70
43.0,0.0,-70
43.5,0.0,-70
44.0,0.0,-70
44.5,0.0,-70
45.0,0.0,-70
45.5,0.0,-70
46.0,0.0,-70
46.5,0.0,-70
47.0,0.0,-70
47.5,0.0,-70
48.0,0.0,-70
48.5,0.0,-70
49.0,0.0,-70
49.5,0.0,-70
